time	V(n003)
0.000000000000000e+000	2.622715e-009
9.882747444045882e-010	2.622715e-009
1.011699238144931e-009	2.622715e-009
1.058548225625617e-009	2.622715e-009
1.106985643554254e-007	2.622664e-009
2.203385804852251e-007	2.622829e-009
3.299785966150249e-007	2.623213e-009
4.396186127448247e-007	2.623814e-009
5.492586288746245e-007	2.624633e-009
6.588986450044242e-007	2.625669e-009
7.685386611342237e-007	2.626922e-009
1.536112472017783e-006	2.650883e-009
2.389796183763296e-006	2.725003e-009
3.183457700579004e-006	2.878952e-009
3.912463852168227e-006	3.155822e-009
4.602169356133303e-006	3.634770e-009
5.271771393368973e-006	4.457398e-009
5.976009646248846e-006	6.001470e-009
6.635155153724422e-006	8.541981e-009
7.309105403182256e-006	1.308221e-008
7.956326063126526e-006	2.063136e-008
8.613468799545040e-006	3.386921e-008
9.255982563749935e-006	5.612374e-008
9.905374858766611e-006	9.477487e-008
1.054662251700688e-005	1.602240e-007
1.119243981846514e-005	2.732571e-007
1.183369193946069e-005	4.655134e-007
1.247801772139438e-005	7.964395e-007
1.311996050871994e-005	1.360839e-006
1.376429042767487e-005	2.330411e-006
1.440801408614385e-005	3.986881e-006
1.505456733887592e-005	6.829539e-006
1.570308315788934e-005	1.169250e-005
1.635727580693367e-005	2.003703e-005
1.701936457426260e-005	3.433877e-005
1.769625797728948e-005	5.893215e-005
1.839699815803660e-005	1.013229e-004
1.913850239086921e-005	1.749859e-004
1.993763489704783e-005	3.028509e-004
2.000000000000000e-005	3.153344e-004
2.027160057311277e-005	3.752563e-004
2.063373467059646e-005	4.684300e-004
2.129361083061387e-005	6.841752e-004
2.261336315064869e-005	1.324541e-003
2.416169628947863e-005	2.480085e-003
2.651086591989958e-005	5.156191e-003
2.925309507060035e-005	9.726725e-003
3.338437858400334e-005	1.944537e-002
3.964111157583812e-005	3.994345e-002
4.874162872453943e-005	7.980733e-002
5.908333192490197e-005	1.358259e-001
7.290477037238904e-005	2.222320e-001
9.032491761610135e-005	3.422131e-001
1.073247727437515e-004	4.656594e-001
1.319032339752188e-004	6.488532e-001
1.602528359470287e-004	8.629295e-001
2.097990706486936e-004	1.238559e+000
2.668554748822917e-004	1.671024e+000
3.645117248822917e-004	2.409045e+000
4.621679748822916e-004	3.143509e+000
5.598242248822916e-004	3.873332e+000
6.574804748822916e-004	4.463373e+000
7.551367248822916e-004	4.602084e+000
8.527929748822915e-004	4.662708e+000
1.145761724882292e-003	4.763674e+000
1.341074224882292e-003	4.809132e+000
1.634042974882292e-003	4.864296e+000
1.927011724882292e-003	4.909627e+000
2.219980474882293e-003	4.947796e+000
2.512949224882293e-003	4.979970e+000
2.805917974882293e-003	5.006655e+000
3.098886724882293e-003	5.028117e+000
3.391855474882294e-003	5.044448e+000
3.684824224882294e-003	5.055719e+000
3.880136724882294e-003	5.060434e+000
3.977792974882294e-003	5.061960e+000
4.075449224882293e-003	5.062959e+000
4.173105474882293e-003	5.063452e+000
4.270761724882293e-003	5.063594e+000
4.368417974882292e-003	5.063586e+000
4.447689532531577e-003	5.063576e+000
4.524956451063512e-003	5.063558e+000
4.622612701063512e-003	5.063545e+000
4.915581451063511e-003	5.063488e+000
5.208550201063510e-003	5.063440e+000
5.501518951063509e-003	5.063384e+000
5.794487701063508e-003	5.063336e+000
6.087456451063507e-003	5.063279e+000
6.380425201063506e-003	5.063231e+000
6.673393951063505e-003	5.063175e+000
6.966362701063504e-003	5.063127e+000
7.259331451063503e-003	5.063070e+000
7.552300201063501e-003	5.063022e+000
7.845268951063501e-003	5.062966e+000
8.138237701063500e-003	5.062918e+000
8.333550201063500e-003	5.062883e+000
8.626518951063499e-003	5.062826e+000
8.919487701063497e-003	5.062778e+000
9.212456451063496e-003	5.062722e+000
9.505425201063495e-003	5.062674e+000
9.798393951063494e-003	5.062617e+000
1.009136270106349e-002	5.062570e+000
1.038433145106349e-002	5.062513e+000
1.067730020106349e-002	5.062465e+000
1.097026895106349e-002	5.062408e+000
1.126323770106349e-002	5.062361e+000
1.155620645106349e-002	5.062304e+000
1.175151895106349e-002	5.062270e+000
1.184917520106349e-002	5.062256e+000
1.194683145106349e-002	5.062235e+000
1.204448770106349e-002	5.062222e+000
1.208189483147328e-002	5.062211e+000
1.210295316378136e-002	5.062212e+000
1.211281980748423e-002	5.062206e+000
1.211903569538718e-002	5.062209e+000
1.212448051581738e-002	5.062205e+000
1.213048691346709e-002	5.062210e+000
1.213596357485527e-002	5.062207e+000
1.214194974142214e-002	5.062216e+000
1.214865337011536e-002	5.062222e+000
1.215766619009316e-002	5.062251e+000
1.217869447989799e-002	5.062381e+000
1.218943711140010e-002	5.062481e+000
1.220472638207545e-002	5.062668e+000
1.223140586048209e-002	5.063035e+000
1.225601517054916e-002	5.063403e+000
1.228419531700004e-002	5.063801e+000
1.231125011924981e-002	5.064164e+000
1.235287288822143e-002	5.064641e+000
1.239567537743048e-002	5.065043e+000
1.246851130828428e-002	5.065498e+000
1.252156147596800e-002	5.065677e+000
1.255750164960619e-002	5.065730e+000
1.259018045562149e-002	5.065755e+000
1.262642520906899e-002	5.065756e+000
1.263759599750698e-002	5.065759e+000
1.264899198375104e-002	5.065753e+000
1.266141726645275e-002	5.065756e+000
1.267495177733566e-002	5.065750e+000
1.268772167744988e-002	5.065752e+000
1.270151712457010e-002	5.065745e+000
